Timestamp,Gesture,Sensor1,Sensor2,Sensor3,Sensor4
2025-04-03 22:06:03,gesture7,702,866,451,949
2025-04-03 22:06:03,gesture7,701,859,446,943
2025-04-03 22:06:03,gesture7,697,858,446,940
2025-04-03 22:06:03,gesture7,697,862,445,949
2025-04-03 22:06:03,gesture7,701,860,440,945
2025-04-03 22:06:03,gesture7,700,856,438,956
2025-04-03 22:06:04,gesture7,698,857,436,952
2025-04-03 22:06:04,gesture7,697,856,433,955
2025-04-03 22:06:04,gesture7,696,857,436,956
2025-04-03 22:06:04,gesture7,695,859,438,951
2025-04-03 22:06:04,gesture7,698,867,433,944
2025-04-03 22:06:04,gesture7,699,868,434,946
2025-04-03 22:06:04,gesture7,701,867,431,950
2025-04-03 22:06:04,gesture7,708,870,426,958
2025-04-03 22:06:04,gesture7,706,867,423,959
2025-04-03 22:06:04,gesture7,706,865,422,960
2025-04-03 22:06:04,gesture7,704,868,445,958
2025-04-03 22:06:04,gesture7,704,877,445,954
2025-04-03 22:06:04,gesture7,701,876,446,955
2025-04-03 22:06:04,gesture7,697,875,447,950
2025-04-03 22:06:04,gesture7,694,877,446,952
2025-04-03 22:06:04,gesture7,693,876,445,950
2025-04-03 22:06:04,gesture7,693,874,443,941
2025-04-03 22:06:04,gesture7,696,878,432,938
2025-04-03 22:06:04,gesture7,695,877,431,945
2025-04-03 22:06:05,gesture7,695,879,433,944
2025-04-03 22:06:05,gesture7,693,877,430,948
2025-04-03 22:06:05,gesture7,694,878,426,947
2025-04-03 22:06:05,gesture7,692,874,431,945
2025-04-03 22:06:05,gesture7,692,875,434,945
2025-04-03 22:06:05,gesture7,692,873,437,942
2025-04-03 22:06:05,gesture7,694,875,437,942
2025-04-03 22:06:05,gesture7,692,869,437,944
2025-04-03 22:06:05,gesture7,692,872,434,940
2025-04-03 22:06:05,gesture7,692,871,434,942
2025-04-03 22:06:05,gesture7,690,870,433,945
2025-04-03 22:06:05,gesture7,691,869,435,944
2025-04-03 22:06:05,gesture7,695,872,431,945
2025-04-03 22:06:05,gesture7,692,875,435,946
2025-04-03 22:06:05,gesture7,690,873,431,944
2025-04-03 22:06:05,gesture7,690,871,426,941
2025-04-03 22:06:05,gesture7,689,869,427,943
2025-04-03 22:06:05,gesture7,692,870,427,942
2025-04-03 22:06:06,gesture7,688,871,429,944
2025-04-03 22:06:06,gesture7,687,871,431,944
2025-04-03 22:06:06,gesture7,693,868,428,942
2025-04-03 22:06:06,gesture7,692,869,425,946
2025-04-03 22:06:06,gesture7,695,867,421,943
2025-04-03 22:06:06,gesture7,694,868,420,947
2025-04-03 22:06:06,gesture7,695,870,418,945
2025-04-03 22:06:06,gesture7,693,872,421,945
2025-04-03 22:06:06,gesture7,691,871,428,943
2025-04-03 22:06:06,gesture7,689,873,422,944
2025-04-03 22:06:06,gesture7,693,873,429,945
2025-04-03 22:06:06,gesture7,693,871,428,945
2025-04-03 22:06:06,gesture7,691,874,431,946
2025-04-03 22:06:06,gesture7,693,875,435,944
2025-04-03 22:06:06,gesture7,708,872,441,943
2025-04-03 22:06:06,gesture7,713,878,422,943
2025-04-03 22:06:06,gesture7,712,879,425,944
2025-04-03 22:06:06,gesture7,706,879,417,943
2025-04-03 22:06:06,gesture7,714,876,428,938
2025-04-03 22:06:07,gesture7,710,874,411,936
2025-04-03 22:06:07,gesture7,703,871,414,942
2025-04-03 22:06:07,gesture7,701,874,407,932
2025-04-03 22:06:07,gesture7,704,872,412,940
2025-04-03 22:06:07,gesture7,698,868,405,935
2025-04-03 22:06:07,gesture7,696,867,412,925
2025-04-03 22:06:07,gesture7,693,865,407,929
2025-04-03 22:06:07,gesture7,697,865,403,932
2025-04-03 22:06:07,gesture7,691,864,403,934
2025-04-03 22:06:07,gesture7,691,865,397,937
2025-04-03 22:06:07,gesture7,690,865,400,936
2025-04-03 22:06:07,gesture7,688,864,394,940
2025-04-03 22:06:07,gesture7,688,862,396,937
2025-04-03 22:06:07,gesture7,689,861,393,939
2025-04-03 22:06:07,gesture7,694,861,395,945
2025-04-03 22:06:07,gesture7,688,863,396,943
2025-04-03 22:06:07,gesture7,689,863,402,930
2025-04-03 22:06:07,gesture7,686,865,402,928
2025-04-03 22:06:07,gesture7,686,864,403,919
