685,99,427,672
688,99,429,674
680,100,427,674
685,100,425,675
684,100,423,664
679,100,423,686
678,100,421,671
675,100,423,673
679,101,422,665
694,102,430,666
722,100,432,661
732,101,429,640
733,100,428,637
731,101,422,647
724,99,427,657
723,97,431,669
710,100,429,662
708,98,429,663
711,99,426,657
704,99,429,663
695,99,430,661
695,99,428,660
691,98,427,664
690,99,426,667
692,98,425,670
693,98,423,673
692,98,424,673
693,97,426,680
692,97,425,673
694,98,425,676
695,99,426,676
689,97,423,695
709,97,421,680
714,97,422,679
713,97,423,679
713,96,421,680
714,96,421,680
714,95,419,686
714,96,418,685
714,96,419,682
712,96,420,688
714,96,421,686
717,96,420,686
717,94,429,675
715,97,420,688
715,94,429,683
716,95,428,689
716,95,430,689
717,95,427,682
715,94,421,718
715,93,426,727
715,93,423,718
715,93,426,724
715,93,427,730
713,93,420,731
714,94,416,729
713,93,413,728
713,94,414,726
713,93,412,721
713,95,411,724
715,94,410,720
713,95,414,710
714,94,413,707
715,94,413,709
715,95,412,711
715,95,414,717
715,95,413,714
715,96,415,711
716,95,414,706
716,96,415,709
714,94,415,704
714,96,413,698
715,95,410,699
715,95,413,701
717,96,418,693
714,96,420,712
716,96,420,707
714,96,421,699
705,95,421,721
703,94,416,736
707,94,419,738
711,95,417,712
712,93,412,743
714,93,410,757
716,92,409,747
714,91,411,752
714,90,414,735
716,92,407,736
715,92,409,745
715,91,408,744
719,92,407,743
710,91,408,742
712,93,407,736
710,92,406,734
708,91,405,731
706,92,405,733
711,92,405,735
709,92,411,728
709,91,407,738
710,92,410,730
711,92,408,736
709,90,407,730
709,91,411,729
710,90,410,725
712,90,411,751
693,90,412,733
693,90,414,717
671,89,416,711
665,89,416,689
679,90,417,693
691,93,418,679
691,91,421,673
689,93,420,679
687,92,423,674
690,91,417,675
690,92,420,675
692,92,419,676
694,92,419,661
696,90,419,665
695,90,418,684
668,91,418,693
694,90,417,701
689,90,419,695
687,90,418,698
682,90,415,696
710,90,418,708
711,90,414,704
712,91,418,706
