Timestamp,Gesture,Sensor1,Sensor2,Sensor3,Sensor4
2025-04-03 20:34:38,gesture6,359,807,396,897
2025-04-03 20:34:38,gesture6,349,805,406,898
2025-04-03 20:34:38,gesture6,380,804,405,895
2025-04-03 20:34:38,gesture6,369,805,405,909
2025-04-03 20:34:38,gesture6,364,803,407,904
2025-04-03 20:34:38,gesture6,596,799,411,907
2025-04-03 20:34:38,gesture6,602,801,417,899
2025-04-03 20:34:38,gesture6,589,804,420,909
2025-04-03 20:34:38,gesture6,600,808,423,909
2025-04-03 20:34:38,gesture6,608,813,442,905
2025-04-03 20:34:39,gesture6,623,813,440,904
2025-04-03 20:34:39,gesture6,618,819,439,906
2025-04-03 20:34:39,gesture6,597,808,436,896
2025-04-03 20:34:39,gesture6,606,811,440,903
2025-04-03 20:34:39,gesture6,619,822,458,917
2025-04-03 20:34:39,gesture6,610,819,441,919
2025-04-03 20:34:39,gesture6,611,813,434,916
2025-04-03 20:34:39,gesture6,601,815,430,914
2025-04-03 20:34:39,gesture6,594,822,450,917
2025-04-03 20:34:39,gesture6,581,800,420,905
2025-04-03 20:34:39,gesture6,577,801,406,905
2025-04-03 20:34:39,gesture6,576,797,404,903
2025-04-03 20:34:39,gesture6,574,795,397,900
2025-04-03 20:34:39,gesture6,567,790,388,899
2025-04-03 20:34:39,gesture6,574,792,403,902
2025-04-03 20:34:39,gesture6,592,805,423,907
2025-04-03 20:34:39,gesture6,577,797,407,911
2025-04-03 20:34:39,gesture6,586,793,417,896
2025-04-03 20:34:39,gesture6,583,790,414,904
2025-04-03 20:34:40,gesture6,580,788,474,900
2025-04-03 20:34:40,gesture6,573,794,524,911
2025-04-03 20:34:40,gesture6,517,788,447,900
2025-04-03 20:34:40,gesture6,563,790,404,905
2025-04-03 20:34:40,gesture6,547,792,398,909
2025-04-03 20:34:40,gesture6,576,803,398,909
2025-04-03 20:34:40,gesture6,565,802,414,900
2025-04-03 20:34:40,gesture6,586,787,423,881
2025-04-03 20:34:40,gesture6,575,781,406,885
2025-04-03 20:34:40,gesture6,572,777,424,879
2025-04-03 20:34:40,gesture6,580,789,422,880
2025-04-03 20:34:40,gesture6,562,779,415,887
2025-04-03 20:34:40,gesture6,569,792,474,884
2025-04-03 20:34:40,gesture6,568,793,456,885
2025-04-03 20:34:40,gesture6,531,795,468,887
2025-04-03 20:34:40,gesture6,553,790,423,877
2025-04-03 20:34:40,gesture6,541,792,415,886
2025-04-03 20:34:40,gesture6,570,803,446,896
2025-04-03 20:34:40,gesture6,543,792,418,908
2025-04-03 20:34:41,gesture6,549,794,408,904
2025-04-03 20:34:41,gesture6,546,793,412,907
2025-04-03 20:34:41,gesture6,562,786,454,910
2025-04-03 20:34:41,gesture6,553,786,435,914
2025-04-03 20:34:41,gesture6,549,787,430,917
2025-04-03 20:34:41,gesture6,555,784,429,910
2025-04-03 20:34:41,gesture6,556,786,440,909
2025-04-03 20:34:41,gesture6,577,792,442,910
2025-04-03 20:34:41,gesture6,574,792,455,909
2025-04-03 20:34:41,gesture6,579,785,427,911
2025-04-03 20:34:41,gesture6,570,788,416,909
2025-04-03 20:34:41,gesture6,571,792,420,914
2025-04-03 20:34:41,gesture6,570,787,405,915
2025-04-03 20:34:41,gesture6,567,787,389,915
2025-04-03 20:34:41,gesture6,567,788,403,913
2025-04-03 20:34:41,gesture6,565,788,399,913
2025-04-03 20:34:41,gesture6,556,792,419,914
2025-04-03 20:34:41,gesture6,512,791,411,915
2025-04-03 20:34:41,gesture6,517,792,404,914
2025-04-03 20:34:42,gesture6,533,794,406,911
2025-04-03 20:34:42,gesture6,528,805,400,911
2025-04-03 20:34:42,gesture6,529,807,402,914
2025-04-03 20:34:42,gesture6,552,800,411,905
2025-04-03 20:34:42,gesture6,580,788,437,912
2025-04-03 20:34:42,gesture6,567,784,436,910
2025-04-03 20:34:42,gesture6,570,781,420,912
2025-04-03 20:34:42,gesture6,569,783,441,913
2025-04-03 20:34:42,gesture6,563,782,403,915
2025-04-03 20:34:42,gesture6,565,778,392,916
2025-04-03 20:34:42,gesture6,567,770,395,913
2025-04-03 20:34:42,gesture6,556,768,415,914
2025-04-03 20:34:42,gesture6,541,769,420,912
2025-04-03 20:34:42,gesture6,545,769,453,912
2025-04-03 20:34:42,gesture6,554,773,401,913
2025-04-03 20:34:42,gesture6,560,772,409,913
2025-04-03 20:34:42,gesture6,540,779,418,912
2025-04-03 20:34:42,gesture6,552,779,426,910
2025-04-03 20:34:43,gesture6,540,779,421,907
2025-04-03 20:34:43,gesture6,539,784,429,908
2025-04-03 20:34:43,gesture6,539,776,419,908
2025-04-03 20:34:43,gesture6,542,777,421,908
2025-04-03 20:34:43,gesture6,543,776,422,905
2025-04-03 20:34:43,gesture6,541,776,423,906
2025-04-03 20:34:43,gesture6,548,780,421,907
2025-04-03 20:34:43,gesture6,543,782,406,906
2025-04-03 20:34:43,gesture6,560,783,415,905
2025-04-03 20:34:43,gesture6,558,780,405,905
2025-04-03 20:34:43,gesture6,558,785,402,904
2025-04-03 20:34:43,gesture6,556,786,408,905
2025-04-03 20:34:43,gesture6,552,784,410,904
2025-04-03 20:34:43,gesture6,559,784,412,897
2025-04-03 20:34:43,gesture6,554,784,416,901
2025-04-03 20:34:43,gesture6,558,785,413,900
2025-04-03 20:34:44,gesture6,559,785,415,898
2025-04-03 20:34:44,gesture6,550,776,419,901
2025-04-03 20:34:44,gesture6,558,770,410,900
2025-04-03 20:34:44,gesture6,560,766,423,905
2025-04-03 20:34:44,gesture6,559,769,422,904
2025-04-03 20:34:44,gesture6,575,795,438,905
2025-04-03 20:34:44,gesture6,580,793,428,909
2025-04-03 20:34:44,gesture6,576,792,420,909
2025-04-03 20:34:44,gesture6,584,796,427,911
2025-04-03 20:34:44,gesture6,578,796,428,912
2025-04-03 20:34:44,gesture6,582,797,440,909
2025-04-03 20:34:44,gesture6,595,810,453,916
2025-04-03 20:34:44,gesture6,567,793,422,911
2025-04-03 20:34:44,gesture6,575,795,435,911
2025-04-03 20:34:44,gesture6,584,801,449,912
2025-04-03 20:34:44,gesture6,559,794,433,916
2025-04-03 20:34:44,gesture6,565,800,431,917
2025-04-03 20:34:44,gesture6,597,818,455,925
2025-04-03 20:34:44,gesture6,572,817,483,908
2025-04-03 20:34:44,gesture6,573,820,488,908
2025-04-03 20:34:45,gesture6,544,804,442,897
2025-04-03 20:34:45,gesture6,551,794,425,891
2025-04-03 20:34:45,gesture6,542,795,448,885
2025-04-03 20:34:45,gesture6,537,787,427,871
2025-04-03 20:34:45,gesture6,577,799,449,842
2025-04-03 20:34:45,gesture6,556,783,418,836
2025-04-03 20:34:45,gesture6,601,813,480,926
2025-04-03 20:34:45,gesture6,552,782,413,914
2025-04-03 20:34:45,gesture6,535,787,418,916
2025-04-03 20:34:45,gesture6,608,817,455,924
2025-04-03 20:34:45,gesture6,650,831,517,937
2025-04-03 20:34:45,gesture6,622,819,505,924
2025-04-03 20:34:45,gesture6,583,793,412,915
2025-04-03 20:34:45,gesture6,633,811,476,928
2025-04-03 20:34:45,gesture6,628,824,469,930
2025-04-03 20:34:45,gesture6,633,823,471,900
2025-04-03 20:34:45,gesture6,600,806,418,875
2025-04-03 20:34:46,gesture6,595,801,415,878
2025-04-03 20:34:46,gesture6,628,832,460,897
2025-04-03 20:34:46,gesture6,632,828,440,896
2025-04-03 20:34:46,gesture6,595,812,423,895
2025-04-03 20:34:46,gesture6,609,806,443,904
2025-04-03 20:34:46,gesture6,611,819,448,929
2025-04-03 20:34:46,gesture6,611,821,447,928
2025-04-03 20:34:46,gesture6,603,813,427,925
2025-04-03 20:34:46,gesture6,600,816,429,927
2025-04-03 20:34:46,gesture6,605,816,432,928
2025-04-03 20:34:46,gesture6,597,814,416,926
2025-04-03 20:34:46,gesture6,590,809,407,925
2025-04-03 20:34:46,gesture6,601,816,424,924
2025-04-03 20:34:46,gesture6,587,808,405,921
2025-04-03 20:34:46,gesture6,582,804,400,921
2025-04-03 20:34:46,gesture6,574,800,389,918
2025-04-03 20:34:46,gesture6,568,795,378,915
2025-04-03 20:34:46,gesture6,564,795,377,915
2025-04-03 20:34:46,gesture6,563,794,375,915
2025-04-03 20:34:46,gesture6,564,794,378,916
2025-04-03 20:34:47,gesture6,562,795,377,915
2025-04-03 20:34:47,gesture6,562,793,376,915
2025-04-03 20:34:47,gesture6,561,793,376,918
2025-04-03 20:34:47,gesture6,564,793,375,916
2025-04-03 20:34:47,gesture6,563,793,372,916
2025-04-03 20:34:47,gesture6,563,793,374,917
2025-04-03 20:34:47,gesture6,561,795,375,916
2025-04-03 20:34:47,gesture6,562,793,373,917
2025-04-03 20:34:47,gesture6,560,794,369,918
2025-04-03 20:34:47,gesture6,559,782,373,920
2025-04-03 20:34:47,gesture6,561,782,372,921
2025-04-03 20:34:47,gesture6,560,782,369,918
2025-04-03 20:34:47,gesture6,561,781,370,917
2025-04-03 20:34:47,gesture6,561,784,369,914
2025-04-03 20:34:47,gesture6,558,782,365,914
2025-04-03 20:34:47,gesture6,554,779,363,914
2025-04-03 20:34:47,gesture6,554,777,366,918
2025-04-03 20:34:48,gesture6,553,779,366,923
2025-04-03 20:34:48,gesture6,552,781,369,926
2025-04-03 20:34:48,gesture6,552,786,369,924
2025-04-03 20:34:48,gesture6,553,785,371,921
2025-04-03 20:34:48,gesture6,553,792,366,925
2025-04-03 20:34:48,gesture6,552,784,368,924
2025-04-03 20:34:48,gesture6,545,782,367,914
2025-04-03 20:34:48,gesture6,545,783,367,917
2025-04-03 20:34:48,gesture6,547,794,377,924
2025-04-03 20:34:48,gesture6,586,807,411,928
2025-04-03 20:34:48,gesture6,566,793,381,869
2025-04-03 20:34:48,gesture6,594,813,431,886
2025-04-03 20:34:48,gesture6,557,789,378,879
2025-04-03 20:34:48,gesture6,548,792,380,889
2025-04-03 20:34:48,gesture6,561,799,347,935
2025-04-03 20:34:48,gesture6,556,794,374,930
2025-04-03 20:34:48,gesture6,531,784,376,930
2025-04-03 20:34:48,gesture6,546,787,384,930
2025-04-03 20:34:48,gesture6,554,795,403,929
2025-04-03 20:34:49,gesture6,569,799,404,933
2025-04-03 20:34:49,gesture6,568,802,411,932
2025-04-03 20:34:49,gesture6,570,802,418,936
2025-04-03 20:34:49,gesture6,581,809,405,938
2025-04-03 20:34:49,gesture6,576,807,399,936
2025-04-03 20:34:49,gesture6,562,801,390,934
2025-04-03 20:34:49,gesture6,561,803,390,932
2025-04-03 20:34:49,gesture6,564,802,436,932
2025-04-03 20:34:49,gesture6,564,796,405,931
2025-04-03 20:34:49,gesture6,558,794,405,930
2025-04-03 20:34:49,gesture6,561,791,403,929
2025-04-03 20:34:49,gesture6,565,794,439,929
2025-04-03 20:34:49,gesture6,562,798,384,930
2025-04-03 20:34:49,gesture6,569,800,384,930
2025-04-03 20:34:49,gesture6,567,809,380,932
2025-04-03 20:34:49,gesture6,567,809,381,928
2025-04-03 20:34:49,gesture6,571,809,380,930
2025-04-03 20:34:49,gesture6,573,808,385,932
2025-04-03 20:34:50,gesture6,575,815,405,935
2025-04-03 20:34:50,gesture6,586,813,419,936
2025-04-03 20:34:50,gesture6,597,804,403,950
2025-04-03 20:34:50,gesture6,565,803,331,938
2025-04-03 20:34:50,gesture6,558,801,249,928
2025-04-03 20:34:50,gesture6,563,801,224,921
2025-04-03 20:34:50,gesture6,567,804,218,931
2025-04-03 20:34:50,gesture6,616,817,214,939
2025-04-03 20:34:50,gesture6,550,800,223,925
2025-04-03 20:34:50,gesture6,555,814,226,930
2025-04-03 20:34:50,gesture6,609,830,428,935
2025-04-03 20:34:50,gesture6,558,804,388,931
2025-04-03 20:34:50,gesture6,525,802,383,931
2025-04-03 20:34:50,gesture6,565,805,398,931
2025-04-03 20:34:50,gesture6,564,803,394,939
2025-04-03 20:34:50,gesture6,556,802,394,933
2025-04-03 20:34:50,gesture6,549,798,382,935
2025-04-03 20:34:50,gesture6,589,833,448,942
2025-04-03 20:34:50,gesture6,555,799,390,933
2025-04-03 20:34:51,gesture6,567,799,408,937
2025-04-03 20:34:51,gesture6,571,817,422,927
2025-04-03 20:34:51,gesture6,587,831,448,925
2025-04-03 20:34:51,gesture6,573,792,433,929
2025-04-03 20:34:51,gesture6,582,813,449,945
2025-04-03 20:34:51,gesture6,575,833,481,955
2025-04-03 20:34:51,gesture6,585,816,456,945
2025-04-03 20:34:51,gesture6,588,822,446,950
2025-04-03 20:34:51,gesture6,590,821,429,951
2025-04-03 20:34:51,gesture6,577,806,427,940
2025-04-03 20:34:51,gesture6,582,818,432,936
2025-04-03 20:34:51,gesture6,575,812,427,942
2025-04-03 20:34:51,gesture6,588,824,461,944
2025-04-03 20:34:51,gesture6,595,819,453,981
2025-04-03 20:34:51,gesture6,563,797,437,977
2025-04-03 20:34:51,gesture6,561,795,432,945
2025-04-03 20:34:51,gesture6,593,815,473,970
2025-04-03 20:34:51,gesture6,578,806,445,948
2025-04-03 20:34:51,gesture6,619,844,473,958
2025-04-03 20:34:52,gesture6,582,812,462,958
2025-04-03 20:34:52,gesture6,570,804,455,954
2025-04-03 20:34:52,gesture6,569,810,445,954
2025-04-03 20:34:52,gesture6,612,834,504,960
2025-04-03 20:34:52,gesture6,598,825,484,956
2025-04-03 20:34:52,gesture6,582,814,452,949
2025-04-03 20:34:52,gesture6,581,816,457,948
2025-04-03 20:34:52,gesture6,587,824,467,950
2025-04-03 20:34:52,gesture6,568,812,442,944
2025-04-03 20:34:52,gesture6,564,809,443,944
2025-04-03 20:34:52,gesture6,587,820,472,947
2025-04-03 20:34:52,gesture6,595,827,484,952
