Timestamp,Gesture,Sensor1,Sensor2,Sensor3,Sensor4
2025-04-03 20:31:03,gesture3,949,809,378,786
2025-04-03 20:31:03,gesture3,954,822,393,826
2025-04-03 20:31:03,gesture3,946,805,382,853
2025-04-03 20:31:03,gesture3,948,797,372,857
2025-04-03 20:31:03,gesture3,947,799,378,866
2025-04-03 20:31:04,gesture3,926,787,359,853
2025-04-03 20:31:04,gesture3,933,792,379,848
2025-04-03 20:31:04,gesture3,937,795,367,856
2025-04-03 20:31:04,gesture3,934,792,360,856
2025-04-03 20:31:04,gesture3,931,791,355,856
2025-04-03 20:31:04,gesture3,929,782,358,856
2025-04-03 20:31:04,gesture3,932,773,362,859
2025-04-03 20:31:04,gesture3,905,767,363,854
2025-04-03 20:31:04,gesture3,901,802,356,857
2025-04-03 20:31:04,gesture3,847,787,368,855
2025-04-03 20:31:04,gesture3,940,795,369,856
2025-04-03 20:31:04,gesture3,938,829,423,851
2025-04-03 20:31:04,gesture3,935,800,364,839
2025-04-03 20:31:04,gesture3,936,794,369,832
2025-04-03 20:31:04,gesture3,933,808,376,687
2025-04-03 20:31:04,gesture3,933,794,373,850
2025-04-03 20:31:04,gesture3,936,812,377,857
2025-04-03 20:31:04,gesture3,931,814,373,857
2025-04-03 20:31:04,gesture3,929,813,371,860
2025-04-03 20:31:05,gesture3,933,809,363,860
2025-04-03 20:31:05,gesture3,932,815,370,856
2025-04-03 20:31:05,gesture3,935,815,370,815
2025-04-03 20:31:05,gesture3,929,811,378,814
2025-04-03 20:31:05,gesture3,939,833,403,831
2025-04-03 20:31:05,gesture3,900,838,397,822
2025-04-03 20:31:05,gesture3,929,814,379,863
2025-04-03 20:31:05,gesture3,913,818,385,875
2025-04-03 20:31:05,gesture3,938,811,398,871
2025-04-03 20:31:05,gesture3,941,811,412,873
2025-04-03 20:31:05,gesture3,949,819,400,866
2025-04-03 20:31:05,gesture3,958,818,382,863
2025-04-03 20:31:05,gesture3,951,821,403,868
2025-04-03 20:31:05,gesture3,954,829,413,872
2025-04-03 20:31:05,gesture3,954,826,425,876
2025-04-03 20:31:05,gesture3,949,804,388,865
2025-04-03 20:31:05,gesture3,955,803,385,865
2025-04-03 20:31:05,gesture3,957,815,422,874
2025-04-03 20:31:06,gesture3,953,812,413,874
2025-04-03 20:31:06,gesture3,952,819,421,877
2025-04-03 20:31:06,gesture3,957,824,432,880
2025-04-03 20:31:06,gesture3,954,807,388,868
2025-04-03 20:31:06,gesture3,949,801,386,876
2025-04-03 20:31:06,gesture3,955,828,455,886
2025-04-03 20:31:06,gesture3,953,822,440,889
2025-04-03 20:31:06,gesture3,950,810,411,882
2025-04-03 20:31:06,gesture3,948,805,402,878
2025-04-03 20:31:06,gesture3,947,802,395,879
2025-04-03 20:31:06,gesture3,947,802,381,874
2025-04-03 20:31:06,gesture3,945,802,378,872
2025-04-03 20:31:06,gesture3,936,803,377,874
2025-04-03 20:31:06,gesture3,872,808,385,874
2025-04-03 20:31:06,gesture3,937,807,383,873
2025-04-03 20:31:06,gesture3,944,811,392,877
2025-04-03 20:31:06,gesture3,931,809,388,877
2025-04-03 20:31:06,gesture3,940,806,395,875
2025-04-03 20:31:06,gesture3,936,809,408,877
2025-04-03 20:31:07,gesture3,934,804,404,877
2025-04-03 20:31:07,gesture3,933,803,405,878
2025-04-03 20:31:07,gesture3,932,803,409,875
2025-04-03 20:31:07,gesture3,935,801,407,873
2025-04-03 20:31:07,gesture3,936,804,407,873
2025-04-03 20:31:07,gesture3,948,800,411,872
2025-04-03 20:31:07,gesture3,949,802,411,872
2025-04-03 20:31:07,gesture3,949,804,411,872
2025-04-03 20:31:07,gesture3,944,798,409,872
2025-04-03 20:31:07,gesture3,949,799,408,869
2025-04-03 20:31:07,gesture3,945,793,388,863
2025-04-03 20:31:07,gesture3,946,791,389,863
2025-04-03 20:31:07,gesture3,946,794,392,866
2025-04-03 20:31:07,gesture3,946,788,390,863
2025-04-03 20:31:07,gesture3,946,789,388,862
2025-04-03 20:31:07,gesture3,944,791,392,864
2025-04-03 20:31:07,gesture3,938,789,387,862
2025-04-03 20:31:07,gesture3,918,795,401,863
2025-04-03 20:31:07,gesture3,945,802,399,862
2025-04-03 20:31:08,gesture3,940,799,397,861
2025-04-03 20:31:08,gesture3,939,815,419,870
2025-04-03 20:31:08,gesture3,939,813,419,869
2025-04-03 20:31:08,gesture3,936,809,415,869
2025-04-03 20:31:08,gesture3,937,804,404,867
2025-04-03 20:31:08,gesture3,947,806,408,868
2025-04-03 20:31:08,gesture3,946,807,415,869
2025-04-03 20:31:08,gesture3,943,808,410,867
2025-04-03 20:31:08,gesture3,946,805,411,867
2025-04-03 20:31:08,gesture3,947,807,401,865
2025-04-03 20:31:08,gesture3,947,803,398,863
2025-04-03 20:31:08,gesture3,961,819,417,870
2025-04-03 20:31:08,gesture3,954,815,405,867
2025-04-03 20:31:08,gesture3,957,817,406,869
2025-04-03 20:31:08,gesture3,955,814,420,871
2025-04-03 20:31:08,gesture3,955,816,416,872
2025-04-03 20:31:08,gesture3,953,812,410,869
2025-04-03 20:31:08,gesture3,953,818,429,877
2025-04-03 20:31:09,gesture3,957,818,408,870
2025-04-03 20:31:09,gesture3,956,810,405,872
2025-04-03 20:31:09,gesture3,953,817,417,870
2025-04-03 20:31:09,gesture3,949,829,416,866
2025-04-03 20:31:09,gesture3,945,810,384,858
2025-04-03 20:31:09,gesture3,950,824,421,873
2025-04-03 20:31:09,gesture3,948,817,424,871
2025-04-03 20:31:09,gesture3,942,801,399,861
2025-04-03 20:31:09,gesture3,938,808,389,864
2025-04-03 20:31:09,gesture3,945,813,411,868
2025-04-03 20:31:09,gesture3,926,815,401,864
2025-04-03 20:31:09,gesture3,933,826,415,870
2025-04-03 20:31:09,gesture3,933,819,410,870
2025-04-03 20:31:09,gesture3,946,809,394,862
2025-04-03 20:31:09,gesture3,945,813,396,864
2025-04-03 20:31:09,gesture3,943,810,390,861
2025-04-03 20:31:09,gesture3,945,829,418,873
2025-04-03 20:31:09,gesture3,950,828,391,864
2025-04-03 20:31:09,gesture3,954,812,378,869
2025-04-03 20:31:10,gesture3,951,813,382,867
2025-04-03 20:31:10,gesture3,945,803,381,869
2025-04-03 20:31:10,gesture3,939,818,361,859
2025-04-03 20:31:10,gesture3,936,814,357,856
2025-04-03 20:31:10,gesture3,926,814,361,856
2025-04-03 20:31:10,gesture3,838,814,356,856
2025-04-03 20:31:10,gesture3,921,814,356,856
2025-04-03 20:31:10,gesture3,928,829,394,869
2025-04-03 20:31:10,gesture3,929,827,400,872
2025-04-03 20:31:10,gesture3,935,826,401,867
2025-04-03 20:31:10,gesture3,934,809,396,872
2025-04-03 20:31:10,gesture3,937,808,398,875
2025-04-03 20:31:10,gesture3,933,819,397,875
2025-04-03 20:31:10,gesture3,930,816,395,872
2025-04-03 20:31:10,gesture3,933,817,396,872
2025-04-03 20:31:10,gesture3,933,814,396,873
2025-04-03 20:31:11,gesture3,932,815,396,870
2025-04-03 20:31:11,gesture3,935,814,398,873
2025-04-03 20:31:11,gesture3,929,812,398,872
2025-04-03 20:31:11,gesture3,932,802,409,876
2025-04-03 20:31:11,gesture3,931,798,403,874
