Timestamp,Gesture,Sensor1,Sensor2,Sensor3,Sensor4
2025-04-03 22:02:30,gesture5,951,350,282,680
2025-04-03 22:02:30,gesture5,950,349,282,706
2025-04-03 22:02:30,gesture5,952,349,281,674
2025-04-03 22:02:30,gesture5,948,348,281,685
2025-04-03 22:02:30,gesture5,953,347,280,659
2025-04-03 22:02:30,gesture5,946,340,280,651
2025-04-03 22:02:30,gesture5,947,339,278,651
2025-04-03 22:02:30,gesture5,945,339,279,651
2025-04-03 22:02:30,gesture5,945,347,286,668
2025-04-03 22:02:30,gesture5,947,354,292,645
2025-04-03 22:02:31,gesture5,941,350,285,645
2025-04-03 22:02:31,gesture5,942,347,283,643
2025-04-03 22:02:31,gesture5,943,345,280,681
2025-04-03 22:02:31,gesture5,948,343,278,700
2025-04-03 22:02:31,gesture5,948,342,278,658
2025-04-03 22:02:31,gesture5,948,342,278,649
2025-04-03 22:02:31,gesture5,951,338,275,666
2025-04-03 22:02:31,gesture5,949,338,275,659
2025-04-03 22:02:31,gesture5,948,338,273,648
2025-04-03 22:02:31,gesture5,948,336,272,642
2025-04-03 22:02:31,gesture5,947,338,273,641
2025-04-03 22:02:31,gesture5,947,342,274,643
2025-04-03 22:02:31,gesture5,948,343,275,650
2025-04-03 22:02:31,gesture5,945,342,273,640
2025-04-03 22:02:31,gesture5,948,340,274,639
2025-04-03 22:02:31,gesture5,949,340,273,628
2025-04-03 22:02:31,gesture5,941,339,273,622
2025-04-03 22:02:31,gesture5,944,339,273,624
2025-04-03 22:02:31,gesture5,942,339,272,625
2025-04-03 22:02:32,gesture5,945,334,271,612
2025-04-03 22:02:32,gesture5,941,332,270,620
2025-04-03 22:02:32,gesture5,943,332,270,619
2025-04-03 22:02:32,gesture5,943,331,272,622
2025-04-03 22:02:32,gesture5,938,332,269,633
2025-04-03 22:02:32,gesture5,937,334,269,642
2025-04-03 22:02:32,gesture5,935,332,269,659
2025-04-03 22:02:32,gesture5,941,331,268,636
2025-04-03 22:02:32,gesture5,942,329,267,653
2025-04-03 22:02:32,gesture5,939,330,266,641
2025-04-03 22:02:32,gesture5,937,333,265,641
2025-04-03 22:02:32,gesture5,943,333,267,625
2025-04-03 22:02:32,gesture5,943,332,268,625
2025-04-03 22:02:32,gesture5,943,331,269,615
2025-04-03 22:02:32,gesture5,948,333,268,621
2025-04-03 22:02:32,gesture5,947,333,266,615
2025-04-03 22:02:32,gesture5,948,333,269,629
2025-04-03 22:02:32,gesture5,948,337,272,626
2025-04-03 22:02:33,gesture5,952,336,271,626
2025-04-03 22:02:33,gesture5,951,335,272,617
2025-04-03 22:02:33,gesture5,953,336,273,622
2025-04-03 22:02:33,gesture5,948,335,274,625
2025-04-03 22:02:33,gesture5,953,339,273,624
